"Node","rank","academic.birth","all.publications","var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up"
149238,1,2010,195,1930.8,2380.5,17.7272727272727,22,10804.5,9384.5,8320.5,0.629440608567314,1.3444049899967,1404.5,8580.5,208.7,2048,982.333333333333,4256.33333333333
8859,2,2010,480,18908.3,4512.5,43.6363636363636,54.0909090909091,83232,46818,76440.5,0.366752352634136,2.25647136192029,3528,38642,1924.7,7564.5,11653,16812.3333333333
3306,3,2010,472,2182.5,1800,42.9090909090909,42.0909090909091,12640.5,25538,480.5,0.502132691894,1.92458929520575,882,10952,302.3,2812.5,1516.33333333333,1836.33333333333
14190,4,2010,453,794,1568,41.1818181818182,42.3636363636364,5000,2592,2812.5,0.515071636607226,2.28908552719929,3362,4704.5,731.583333333333,4418,2869,420.5
3943,5,2010,680,1439.3,1800,61.8181818181818,45,3200,23980.5,8320.5,0.638801858657099,1.21061800837216,3872,648,793.3,392,604,1058
510222,6,2010,400,1558.7,4232,36.3636363636364,28.1818181818182,9112.5,16744.5,2664.5,0.480357653236968,1.75805011782616,1984.5,5940.5,241.3,3612.5,1270.33333333333,346.333333333333
2316,7,2011,336,3388.3,14450,33.6,34.4,31250,22050,19800.5,0.327235273842624,1.73094761194422,10804.5,10804.5,353.7,8064.5,1729.33333333333,2074.33333333333
40894,8,2010,196,966.3,1800,17.8181818181818,14.7272727272727,7080.5,8064.5,5832,0.39477393337095,1.70413841268965,1568,6498,282.8,1682,844,1925.33333333333
74922,9,2011,319,1251.7,3784.5,31.9,20.5,9248,17484.5,5100.5,0.344520491122247,2.60270194420932,2664.5,7320.5,402.7,2738,856.333333333333,460.333333333333
86541,10,2010,244,926.3,2450,22.1818181818182,21.6363636363636,6844.5,12012.5,3784.5,0.401041154144392,1.60072669554118,1512.5,8580.5,135.2,2592,709,517.333333333333
495013,11,2010,123,795.2,1300.5,11.1818181818182,11.1818181818182,5304.5,4418,4512.5,0.568473510955418,0.254160889149419,924.5,3698,432.333333333333,1624.5,1308.33333333333,2408.33333333333
25158,12,2010,501,2896.7,2450,45.5454545454545,52.4545454545455,9660.5,14964.5,3698,0.40689348934953,2.45744178872998,3960.5,480.5,128.7,162,184.333333333333,3806.33333333333
40895,13,2010,491,4399,364.5,44.6363636363636,57.0909090909091,15138,38364.5,60.5,0.471849003545304,1.99524542448884,5618,25312.5,3085.2,2178,1308,612.5
3354,14,2011,127,731.5,2312,12.7,12.8,6272,4512.5,5304.5,0.546167995251234,2.22966755722608,1984.5,3120.5,56.6666666666667,612.5,397,814.333333333333
41329,15,2010,330,1526.8,684.5,30,28.8181818181818,8320.5,11552,3200,0.532134165532065,1.54792369000622,4.5,4324.5,427.5,288,1934.33333333333,762.333333333333
86097,16,2011,195,1639.7,760.5,19.5,17.3,8978,11400.5,6384.5,0.344505460529478,0.993337836752717,242,8320.5,406.25,4140.5,1714.33333333333,1519
121866,17,2010,206,1094.5,1012.5,18.7272727272727,19.8181818181818,7200,5512.5,5000,0.363813831292028,2.76663373891874,420.5,2312,160.916666666667,578,156,1303
91117,18,2011,184,1509.8,6728,18.4,26.9,13448,2450,6050,0.353223214864058,3.81772343978124,3042,84.5,114,1104.5,310.333333333333,1192.33333333333
77424,19,2010,216,618.7,1458,19.6363636363636,21.5454545454545,5940.5,4900.5,1984.5,0.511158300352611,2.11434575603222,162,1740.5,73.3,544.5,289.333333333333,297.333333333333
489213,20,2010,176,690.8,800,16,16,5202,5512.5,3362,0.392729897898288,3.2547043985669,288,3200,108.5,1740.5,242.333333333333,617.333333333333
39623,21,2011,236,1055.3,5000,23.6,24.1,8064.5,5618,1922,0.479775705319563,2.67834982425099,1404.5,840.5,45.5,112.5,185.333333333333,654.333333333333
1004,22,2010,425,4763.3,30752,38.6363636363636,82.8181818181818,31250,2450,4608,0.30560849260317,4.09237619481613,60.5,4802,300,72,804,2521.33333333333
63310,23,2011,120,898.3,2664.5,12,16.7,7442,3200,4900.5,0.258170791807754,2.84317419327262,1512.5,1800,137.333333333333,722,364,1594.33333333333
54360,24,2011,109,1167.7,1404.5,10.9,13.7,7564.5,4512.5,6612.5,0.293541312777276,3.43458146569324,1012.5,3872,162.2,450,240.333333333333,2888
38769,25,2010,178,1092.3,5202,16.1818181818182,22.2727272727273,6384.5,3120.5,1860.5,0.368632469556882,2.38358624775337,3362,684.5,59.3333333333333,392,209.333333333333,412
183734,26,2010,240,917.8,760.5,21.8181818181818,19,5832,5512.5,2888,0.481885498834887,2.40348351246674,84.5,1860.5,106.7,162,289.333333333333,543
43640,27,2010,568,2169.5,180.5,51.6363636363636,31.4545454545455,8712,32512.5,722,0.47958757449072,1.78944857586405,2048,12012.5,401.3,1568,1143,50
26965,28,2010,192,568.3,1152,17.4545454545455,37.0909090909091,1200.5,24.5,7812.5,0.595462218980817,0.539780031267149,2964.5,2592,196.916666666667,1250,578,3444.5
23277,29,2010,507,1962.3,11704.5,46.0909090909091,47.9090909090909,20808,11100.5,1012.5,0.480620322124807,2.57735512693234,578,12.5,431,480.5,112.333333333333,361
179282,30,2010,242,2415.2,32,22,24.5454545454545,5832,11552,1458,0.405779801698784,1.38727799916727,684.5,9660.5,1598,512,786.333333333333,1408.33333333333
260931,31,2010,177,1062.8,264.5,16.0909090909091,21.5454545454545,5202,3960.5,1200.5,0.634328516389263,1.33398979329521,242,2312,62,612.5,457.333333333333,242
60434,32,2011,96,784.8,1058,9.6,12.2,3698,3362,1922,0.305686573642002,2.31792412882753,578,2812.5,180.666666666667,1250,453,2080.33333333333
80527,33,2010,142,339.8,968,12.9090909090909,9.54545454545454,2450,4140.5,1458,0.435039504909196,1.08436463613029,612.5,2812.5,186,2048,789.333333333333,736.333333333333
11188,34,2010,410,1009.7,338,37.2727272727273,35.0909090909091,3960.5,10952,1058,0.500203204394449,2.5565772032468,3612.5,1152,280.2,144.5,258.333333333333,60.5
96125,35,2010,576,1059.8,5940.5,52.3636363636364,37.4545454545455,6728,12482,242,0.423666097156416,1.91268369026802,32,200,676.8,128,424.333333333333,862.333333333333
58440,36,2010,317,470.3,1682,28.8181818181818,23.1818181818182,4418,8978,512,0.429352460612782,2.73228597324123,84.5,3042,182.5,1682,297.333333333333,28
85820,37,2010,259,546.2,1740.5,23.5454545454545,22.6363636363636,5724.5,4512.5,1860.5,0.347289368319682,2.75966173070395,288,578,252.5,1624.5,180.333333333333,79
142661,38,2010,172,709.2,1624.5,15.6363636363636,18.4545454545455,5618,3960.5,2178,0.386471145307623,1.63953604459855,420.5,1682,40.8,612.5,139,469
97200,39,2010,139,654.3,722,12.6363636363636,14.6363636363636,3698,2664.5,1682,0.408918077380598,3.72300900203519,200,1352,68.6666666666667,112.5,469,856.333333333333
43061,40,2010,504,567.7,84.5,45.8181818181818,27.2727272727273,4.5,2112.5,14450,0.497195755423322,2.30291732697799,8192,8450,706.25,3444.5,2849.33333333333,3042
85144,41,2010,303,383.5,2178,27.5454545454545,18.1818181818182,3612.5,3872,612.5,0.62985211687083,1.91499268468029,578,32,543.333333333333,3784.5,1777.33333333333,36.3333333333333
191362,42,2010,431,7542.3,3612.5,39.1818181818182,55.8181818181818,34848,11400.5,13122,0.35032861464639,1.89784350503177,112.5,1250,1812.25,32,100.333333333333,485.333333333333
87549,43,2011,129,364.7,544.5,12.9,9.4,2738,5100.5,2048,0.377687038536515,2.52253580946685,288,3784.5,103.7,684.5,604.333333333333,549
113147,44,2010,203,911.2,40.5,18.4545454545455,19.0909090909091,3528,2812.5,722,0.420143171894903,2.07965232381655,512,612.5,212.666666666667,264.5,338,816.333333333333
35474,45,2010,222,740.2,220.5,20.1818181818182,23.9090909090909,3200,5100.5,144.5,0.484075764799499,2.25799651624884,2112.5,1624.5,337,684.5,624,4.5
112706,46,2010,167,493.3,2178,15.1818181818182,19.6363636363636,1624.5,2450,84.5,0.308097361169513,3.3017494965286,544.5,512,140.666666666667,480.5,646.333333333333,362.333333333333
60144,47,2011,115,583.7,392,11.5,12,3120.5,4324.5,1404.5,0.443135982957591,1.03236708207509,24.5,3362,150.8,264.5,592,849.333333333333
89236,48,2011,125,2841.2,84.5,12.5,15.9,8580.5,5304.5,5724.5,0.343286624363958,1.37421419394077,24.5,4232,356.3,512,1399,1200
