"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
686,2705,396,135,1070,2033,206,3474,4225,4225,183,2251,4225,681,1311,"1"
3468,1979,2949,2330,2724,1737,860,1065,4225,1611,2069,4030,1702,2935,2581,"2"
2362,3663,1888,1446,3398,2256,4225,787,4225,4225,924,3211,962,1491,1909,"3"
992,745,1436,4138,848,3323,4225,251,1124,4225,4225,1691,4225,779,4225,"4"
3626,3816,2250,3548,2560,2256,1413,93,1206,874,1356,2272,1594,1860,2754,"5"
3900,2490,3927,3879,2051,3017,4225,121,4225,4225,1139,3400,1275,2120,4225,"6"
3819,3195,975,3034,3149,1926,693,157,1223,708,631,3416,800,1598,1579,"7"
54,24,2618,486,50,3169,4225,2238,4225,4225,576,1555,4225,1010,4225,"8"
1766,1337,4109,4076,816,2033,4225,278,589,4225,4225,4225,4225,2211,4225,"9"
1627,2705,2701,1317,1301,2256,1288,192,4225,4225,1356,1976,2419,2001,4225,"10"
353,301,2483,3964,380,1267,4225,2432,4225,4225,4225,755,4225,376,4225,"11"
399,387,556,2976,439,3454,4225,329,1009,4225,4225,346,4225,323,200,"12"
1762,919,3613,3995,1456,3454,4225,830,4225,4225,4225,1133,874,1104,614,"13"
3471,1675,3514,3548,2201,2620,4225,1783,4225,4225,1426,3754,1702,2226,4225,"14"
924,676,3927,3637,1301,3169,4225,1031,4225,4225,999,2039,1372,3481,442,"15"
473,1979,658,402,3149,1407,4225,1099,4225,4225,733,2272,526,1156,297,"16"
14,14,408,451,16,653,4225,178,843,4225,4225,54,4225,4225,4225,"17"
618,533,3514,3930,716,3017,4225,401,4225,4225,1067,2944,1372,978,4225,"18"
2034,1740,2250,1620,2284,2501,4225,4167,4225,4225,856,3037,1806,2062,4225,"19"
410,223,374,2037,346,1338,4225,1027,656,4225,4225,251,4225,64,102,"20"
1690,2594,1360,2283,2638,614,625,805,324,4225,1579,4073,2952,2340,1365,"21"
1032,1454,2631,4019,4225,4225,4225,3759,4225,4225,4225,2527,4225,1433,4225,"22"
21,42,294,362,58,1926,4225,3245,4225,4225,91,1001,721,494,4225,"23"
854,777,3927,2619,1070,3017,4225,2915,4225,4225,1219,2736,4225,2062,508,"24"
790,425,1689,4104,745,2501,4225,402,729,4225,681,1043,584,1280,383,"25"
376,587,2250,2330,716,3017,4225,3224,4225,4225,4225,949,4225,873,160,"26"
274,399,887,1083,455,1481,4225,579,4225,4225,999,1555,1702,1000,122,"27"
485,346,1227,383,1120,3017,4225,1232,4225,4225,4225,625,4225,292,102,"28"
937,2266,55,81,2284,195,10,2152,480,25,468,1159,2952,887,426,"29"
1026,1221,1462,841,946,1120,1253,1972,4225,937,2153,2871,2952,2563,2754,"30"
2755,1884,3724,3964,2284,3169,4225,486,4225,4225,4225,2039,1471,1786,1505,"31"
2203,2594,1129,2498,3310,1191,308,718,339,4225,1665,3309,1806,2774,1436,"32"
2764,2157,3819,2701,4225,3017,480,2290,4225,1501,1219,3921,2046,2713,2667,"33"
32,39,4109,1340,118,3323,4225,3553,4225,4225,4225,3093,4225,978,4225,"34"
1403,1740,1608,1258,1982,1572,726,3502,4225,4225,1828,3717,653,3145,2572,"35"
1325,4225,2483,2450,1245,343,1598,3324,4225,4225,306,1066,204,1689,895,"36"
2878,2594,1391,3410,1836,2873,4225,2205,4225,4225,350,1745,434,675,4225,"37"
202,301,158,296,3398,1338,4225,393,697,4225,107,854,187,172,356,"38"
194,130,3514,2450,147,1737,4225,3410,4225,4225,4225,854,4225,376,56,"39"
1141,1392,1320,2800,774,2501,4225,3708,4225,4225,4225,1043,4225,3341,4225,"40"
1810,2075,1554,1727,2374,1926,4225,3568,4225,4225,1291,2857,584,1777,4225,"41"
2183,3663,2949,1446,1514,1120,1598,3232,4225,708,1908,2290,2173,3389,2454,"42"
3446,3055,271,421,3149,584,76,2396,1019,4225,790,1084,721,302,550,"43"
1868,848,202,422,1070,868,661,3469,4225,1611,220,1493,254,788,1803,"44"
15,3,19,2,5,108,36,2619,2,1099,18,104,1594,81,149,"45"
1017,745,94,105,1013,467,4225,2004,710,4225,243,148,35,127,62,"46"
1492,2490,514,439,455,584,1454,1373,242,280,2469,2093,4225,2593,3145,"47"
2538,2490,3819,1479,1245,2873,1598,3612,4225,1209,1219,3688,1806,3791,2485,"48"
2534,3317,471,548,2896,1842,115,3029,4225,4225,322,1164,277,473,4225,"49"
651,533,177,245,152,130,297,2318,362,995,1291,1224,434,3403,1167,"50"
163,148,43,76,689,584,4225,746,569,4225,59,118,21,172,4225,"51"
2010,2490,2377,3331,2896,3454,4225,32,4225,4225,4225,1946,653,4225,1286,"52"
890,1271,3927,3813,1070,2141,4225,31,1260,4225,4225,1891,477,4225,4225,"53"
